sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,created_department,electricity_grid,parent_sr_number
SR23-01726757,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Completed,Phone Call,2023-10-06T14:45:14.000,2023-10-13T10:00:48.000,2023-10-13T10:00:48.000,3431 N KEDZIE AVE,Chicago,Illinois,60618,3431,N,KEDZIE,AVE,True,False,21,33,3,17,1733,4,14,6,10,1154504.686558821,1922685.849720205,41.943681001,-87.7075245,"{'latitude': '41.943681000940636', 'longitude': '-87.70752450000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,I014,SR23-01440731
SR23-01915200,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-04T00:46:11.000,2023-11-04T01:30:38.000,2023-11-04T00:46:12.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,0,7,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01727682,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-06T17:13:56.000,2023-10-06T17:31:16.000,2023-10-06T17:13:57.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,17,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01719726,Recycling Pick Up,SRRP,Streets and Sanitation,Completed,Phone Call,2023-10-05T16:02:04.000,2023-10-09T07:56:06.000,2023-10-09T07:56:06.000,6050 S RACINE AVE,Chicago,Illinois,60636,6050,S,RACINE,AVE,False,False,67,16,1,07,0713,26,16,5,10,1169289.313164172,1864464.191371597,41.783607001,-87.6548745,"{'latitude': '41.783607000940094', 'longitude': '-87.6548745000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,M036,
SR23-01837495,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-23T13:16:53.000,2023-10-23T13:32:02.000,2023-10-23T13:16:54.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01881459,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-30T09:15:44.000,2023-10-30T09:31:08.000,2023-10-30T09:15:44.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01831357,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-22T12:51:35.000,2023-10-22T13:30:58.000,2023-10-22T12:51:36.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,12,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01692120,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-02T09:10:50.000,2023-10-02T09:31:04.000,2023-10-02T09:10:51.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,9,2,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01868829,Blue Recycling Cart,SRRC,Streets and Sanitation,Completed,Internet,2023-10-27T13:09:46.000,2023-11-20T10:24:02.000,2023-11-20T10:24:02.000,2110 N NEWLAND AVE,Chicago,Illinois,60707,2110,N,NEWLAND,AVE,False,False,25,29,1,25,2512,23,13,6,10,1129631.271821466,1913360.493028226,41.918553001,-87.7991625,"{'latitude': '41.9185530009406', 'longitude': '-87.79916250000188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Y117,
SR23-01865420,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-27T08:16:45.000,2023-10-27T08:32:15.000,2023-10-27T08:16:46.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,8,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01906782,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-02T17:30:55.000,2023-11-02T18:30:56.000,2023-11-02T17:30:55.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,17,5,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01833188,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-22T21:04:13.000,2023-10-22T21:31:17.000,2023-10-22T21:04:13.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,21,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01823001,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-20T14:40:44.000,2023-10-20T15:31:39.000,2023-10-20T14:40:44.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,14,6,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01725667,Vacant/Abandoned Building Complaint,BBK,DOB - Buildings,Open,Phone Call,2023-10-06T13:07:51.000,2023-10-06T13:07:54.000,,4927 S WASHINGTON PARK CT,Chicago,Illinois,60615,4927,S,WASHINGTON PARK,CT,False,False,38,20,2,02,0223,8,13,6,10,1180156.015856822,1872315.678471842,41.804910001,-87.614793,"{'latitude': '41.80491000094019', 'longitude': '-87.6147930000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,R033,
SR23-01834725,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Completed,Mobile Device,2023-10-23T08:55:04.000,2023-11-15T10:54:00.000,2023-11-15T10:54:00.000,5443 W BYRON ST,,,,5443,W,BYRON,ST,False,False,15,30,3,16,1633,35,8,2,10,1139190.673929691,1925337.356691491,41.951250001,-87.7637475,"{'latitude': '41.951250000940725', 'longitude': '-87.76374750000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,C013,
SR23-01881789,Building Violation,BBA,DOB - Buildings,Open,Phone Call,2023-10-30T09:49:49.000,2023-10-30T09:49:53.000,,6401 S YALE AVE,Chicago,Illinois,60621,6401,S,YALE,AVE,False,False,68,6,2,07,0722,29,9,2,10,1175684.762789754,1862413.203867601,41.777838001,-87.631488,"{'latitude': '41.777838000940086', 'longitude': '-87.63148800000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Health,P037,
SR23-01746216,Tree Planting Request,SED,Streets and Sanitation,Open,Internet,2023-10-10T12:05:36.000,2023-10-10T12:05:39.000,,7123 S PAULINA ST,Chicago,Illinois,60636,7123,S,PAULINA,ST,False,False,67,17,3,07,0735,32,12,3,10,1166341.056226266,1857360.182320569,41.764176001,-87.665886,"{'latitude': '41.76417600094004', 'longitude': '-87.66588600000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,L039,
SR23-01796730,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Completed,Mobile Device,2023-10-17T17:18:24.000,2023-11-01T13:19:59.000,2023-11-01T13:19:59.000,5456 N GLENWOOD AVE,,,,5456,N,GLENWOOD,AVE,False,False,77,48,1,20,2013,7,17,3,10,1165907.236848267,1936596.393342903,41.981616001,-87.6652155,"{'latitude': '41.98161600094081', 'longitude': '-87.6652155000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,M009,
SR23-01765536,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-13T03:00:16.000,2023-10-13T03:30:35.000,2023-10-13T03:00:16.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,3,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01687639,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-01T11:10:53.000,2023-10-01T11:31:03.000,2023-10-01T11:10:54.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01762342,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-10-12T13:38:50.000,2023-10-12T13:38:55.000,2023-10-12T13:38:55.000,3125 S SPRINGFIELD AVE,Chicago,Illinois,60623,3125,S,SPRINGFIELD,AVE,False,False,30,22,3,10,1031,10,13,5,10,1150942.29773176,1883480.120396424,41.836167001,-87.7216455,"{'latitude': '41.83616700094032', 'longitude': '-87.72164550000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,G029,
SR23-01805091,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-18T16:02:48.000,2023-10-18T16:31:29.000,2023-10-18T16:02:48.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,16,4,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01833853,City Vehicle Sticker Violation,QAC,City Clerk's Office,Completed,Mobile Device,2023-10-23T06:11:57.000,2023-11-06T16:09:35.000,2023-11-06T16:09:35.000,4765 N LINDER AVE,,,,4765,N,LINDER,AVE,False,False,15,45,2,16,1623,16,6,2,10,1138900.428210686,1931258.698461452,41.967504001,-87.76467,"{'latitude': '41.96750400094074', 'longitude': '-87.76467000000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,C011,
SR23-01865511,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-27T08:27:51.000,2023-10-27T08:32:20.000,2023-10-27T08:27:51.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,8,6,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01729113,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-07T07:36:23.000,2023-10-07T08:30:47.000,2023-10-07T07:36:23.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,7,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01706109,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-03T21:48:16.000,2023-10-03T22:30:42.000,2023-10-03T21:48:16.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,70,18,3,08,0835,12,21,3,10,1161415.998508715,1852215.15288211,41.750160727,-87.684079944,"{'latitude': '41.75016072670708', 'longitude': '-87.68407994446548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,J040,
SR23-01741083,Water On Street Complaint,AAE,DWM - Department of Water Management,Canceled,Phone Call,2023-10-09T16:06:26.000,2023-10-09T18:13:33.000,2023-10-09T18:13:33.000,3626 N ASHLAND AVE,Chicago,Illinois,60613,3626,N,ASHLAND,AVE,False,False,6,47,2,19,1922,6,16,2,10,1164923.373852658,1924295.919975079,41.947884001,-87.6691845,"{'latitude': '41.94788400094068', 'longitude': '-87.66918450000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,L013,
SR23-01834059,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-23T07:30:55.000,2023-10-23T08:30:47.000,2023-10-23T07:30:55.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,7,2,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01745237,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-10T10:42:53.000,2023-10-10T11:30:46.000,2023-10-10T10:42:54.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01790154,Yard Waste Pick-Up Request,SCQ,Streets and Sanitation,Completed,Mobile Device,2023-10-17T07:22:43.000,2023-10-17T08:31:40.000,2023-10-17T08:31:40.000,5537 N MCVICKER AVE,,,,5537,N,MCVICKER,AVE,False,False,11,45,2,16,1622,40,7,3,10,1134977.931126784,1936569.185312082,41.982147001,-87.7789665,"{'latitude': '41.982147000940785', 'longitude': '-87.7789665000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A009,
SR23-01861831,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-26T14:33:26.000,2023-10-26T15:31:27.000,2023-10-26T14:33:26.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01757977,Sign Repair Request - Stop Sign,PCB,CDOT - Department of Transportation,Completed,Mobile Device,2023-10-11T23:30:39.000,2023-10-12T10:27:19.000,2023-10-12T10:27:19.000,7660 W WINONA ST,,,60656,7660,W,WINONA,ST,False,False,,,0,31,3100,,23,4,10,1123985.251519969,1933341.300668853,41.973477447,-87.819466827,"{'latitude': '41.973477447437524', 'longitude': '-87.81946682711389', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,W110,
SR23-01831291,Traffic Signal Out Complaint,SFB,CDOT - Department of Transportation,Open,Phone Call,2023-10-22T12:35:37.000,2023-10-22T21:04:43.000,,1358 E 75TH ST,Chicago,Illinois,,1358,E,75TH,ST,False,False,43,8,1,04,0411,2,12,1,10,1186841.412880883,1855544.165909109,41.758731603,-87.590805339,"{'latitude': '41.75873160317381', 'longitude': '-87.59080533926763', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,T040,
SR23-01687941,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-01T12:30:40.000,2023-10-01T13:30:41.000,2023-10-01T12:30:41.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,12,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01693042,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-02T10:24:48.000,2023-10-02T10:32:51.000,2023-10-02T10:24:48.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01789491,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-16T22:33:36.000,2023-10-16T23:30:48.000,2023-10-16T22:33:36.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,22,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01870039,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-10-27T14:41:19.000,2023-10-27T14:41:24.000,2023-10-27T14:41:24.000,8801 S CARPENTER ST,Chicago,Illinois,60620,8801,S,CARPENTER,ST,False,False,71,21,2,22,2222,6,14,6,10,1170869.977658146,1846440.939540512,41.734114511,-87.64960443,"{'latitude': '41.73411451081839', 'longitude': '-87.64960442987254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N043,
SR23-01734367,No Building Permit and Construction Violation,BBD,DOB - Buildings,Open,Phone Call,2023-10-08T11:56:05.000,2023-10-08T11:56:07.000,,5036 S DREXEL BLVD,Chicago,Illinois,60615,5036,S,DREXEL,BLVD,False,False,39,20,2,02,0223,33,11,1,10,1183025.86886291,1871595.757481374,41.802868161,-87.604290132,"{'latitude': '41.802868160653695', 'longitude': '-87.60429013248012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,S033,
SR23-01917063,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-04T12:54:45.000,2023-11-04T13:31:11.000,2023-11-04T12:54:45.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,12,7,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01769752,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-10-13T14:06:23.000,2023-10-13T14:06:27.000,2023-10-13T14:06:27.000,5100 N MELVINA AVE,Chicago,Illinois,60630,5100,N,MELVINA,AVE,False,False,11,45,2,16,1622,23,14,6,10,1133805.525193281,1933557.355089391,41.973903001,-87.7833495,"{'latitude': '41.97390300094079', 'longitude': '-87.78334950000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A010,
SR23-01922463,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-05T17:31:12.000,2023-11-05T18:30:56.000,2023-11-05T17:31:12.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,17,1,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01702073,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-03T11:41:06.000,2023-10-03T12:31:06.000,2023-10-03T11:41:06.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01705372,Abandoned Vehicle Complaint,SKA,Streets and Sanitation,Completed,Internet,2023-10-03T17:57:00.000,2023-10-21T04:13:11.000,2023-10-21T04:13:10.000,5209 W DRUMMOND PL,Chicago,Illinois,60639,5209,W,DRUMMOND,PL,False,False,19,31,1,25,2514,20,17,3,10,1141159.439664828,1917100.086034169,41.928609988,-87.756713968,"{'latitude': '41.92860998822066', 'longitude': '-87.75671396817732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,C016,
SR23-01729089,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-07T07:31:32.000,2023-10-07T08:30:47.000,2023-10-07T07:31:32.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,7,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01816139,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-19T16:57:33.000,2023-10-19T17:31:06.000,2023-10-19T16:57:33.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,16,5,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01850345,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-25T09:30:22.000,2023-10-25T10:30:49.000,2023-10-25T09:30:22.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01808383,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-19T07:27:05.000,2023-10-19T07:31:21.000,2023-10-19T07:27:05.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,7,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01869260,Sign Repair Request - All Other Signs,PCE,CDOT - Department of Transportation,Open,Internet,2023-10-27T13:41:12.000,2023-10-27T14:15:31.000,,2055 N LAWNDALE AVE,Chicago,Illinois,,2055,N,LAWNDALE,AVE,False,False,22,35,2,25,2525,3,13,6,10,1151371.135068306,1913701.7661291,41.919090123,-87.719278527,"{'latitude': '41.91909012344717', 'longitude': '-87.71927852696247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,G017,
SR23-01733717,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-08T09:34:41.000,2023-10-08T10:30:39.000,2023-10-08T09:34:42.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,9,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01790068,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-17T07:04:17.000,2023-10-17T07:30:44.000,2023-10-17T07:04:18.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,7,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01839304,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-23T16:20:02.000,2023-10-23T16:31:12.000,2023-10-23T16:20:02.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,16,2,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01759592,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Mass Entry,2023-10-12T09:23:10.000,2023-10-12T09:23:19.000,2023-10-12T09:23:19.000,2526 W ARMITAGE AVE,Chicago,Illinois,60647,2526,W,ARMITAGE,AVE,False,False,22,1,3,14,1431,13,9,5,10,1158993.710757802,1913273.22986866,41.917761001,-87.691284,"{'latitude': '41.91776100094061', 'longitude': '-87.69128400000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,J017,
SR23-01827519,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-21T13:48:52.000,2023-10-21T14:31:02.000,2023-10-21T13:48:52.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,7,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
